长安乱,https://book.douban.com/subject/1049219/,7.4,75135人评价,韩少也会借古喻今了
哈利·波特与混血王子,https://book.douban.com/subject/1432596/,8.8,64589人评价,感情线纷乱的一部。再见邓布利多
一个人的好天气,https://book.douban.com/subject/2250587/,7.6,73696人评价,冬日暖阳的温煦感
苏菲的世界,https://book.douban.com/subject/1045818/,8.5,65236人评价,最平易近人的哲学入门
许三观卖血记,https://book.douban.com/subject/1029791/,8.7,68160人评价,余华的悲凉，都在那一碗炒猪肝里了
1995-2005夏至未至,https://book.douban.com/subject/1049189/,7.3,69603人评价,当青春遁入歧途
撒哈拉的故事,https://book.douban.com/subject/1361264/,9.0,65165人评价,关于漂泊的一切
盗墓笔记,https://book.douban.com/subject/1948901/,8.3,65954人评价,想象奇诡的大型RPG游戏
霍乱时期的爱情,https://book.douban.com/subject/10594787/,9.0,72722人评价,义无反顾地直达爱情的核心
哈利·波特与凤凰社,https://book.douban.com/subject/1013129/,8.7,61059人评价,暴脾气的哈利
喜宝,https://book.douban.com/subject/2022979/,8.1,45923人评价,爱情才是终极的奢侈品
岛上书店,https://book.douban.com/subject/26340138/,7.6,82898人评价,爱书的人从不孤独
三生三世 十里桃花,https://book.douban.com/subject/3426869/,7.9,70237人评价,大风刮过有话要说
海边的卡夫卡,https://book.douban.com/subject/1059419/,8.1,64047人评价,背负诅咒的少年，平行世界中的奥德赛
文化苦旅,https://book.douban.com/subject/1050339/,7.7,67081人评价,“历史文化散文”
基督山伯爵,https://book.douban.com/subject/1085860/,9.0,53672人评价,完美的复仇，金庸用法语写作应该就是这样
窗边的小豆豆,https://book.douban.com/subject/1007914/,8.7,62144人评价,真正懂孩子的教育经
三国演义（全二册）,https://book.douban.com/subject/1019568/,9.2,57385人评价,是非成败转头空
黄金时代,https://book.douban.com/subject/1089243/,8.8,62482人评价,能把性爱写得如此坦荡的，大概只有王二了
悟空传,https://book.douban.com/subject/1003000/,8.4,63483人评价,猴子还是那个猴子，世界早已不是原来的世界
兄弟（上）,https://book.douban.com/subject/1401425/,8.3,60208人评价,历史苦难中的个人灾变
呼啸山庄,https://book.douban.com/subject/1119522/,8.4,59995人评价,近乎暴虐的爱与恨，中文译名后无来者
笑傲江湖（全四册）,https://book.douban.com/subject/1002299/,9.0,52357人评价,武侠的壳，政治斗争的核
少有人走的路,https://book.douban.com/subject/1775691/,8.4,58673人评价,成熟的心智通向更完善的自我
民主的细节,https://book.douban.com/subject/3813669/,8.6,55704人评价,公民养成手册
亲爱的安德烈,https://book.douban.com/subject/3369793/,8.7,57086人评价,龙应台母子对话，两代人的思想碰撞
灿烂千阳,https://book.douban.com/subject/2143732/,8.8,56709人评价,唯有希望与爱可以驱散阴霾
老人与海,https://book.douban.com/subject/1064275/,8.3,57904人评价,正是悲壮赋予生活以意义
遇见未知的自己,https://book.douban.com/subject/2340100/,8.1,56024人评价,都市灵修速成
一九八四·动物农场,https://book.douban.com/subject/1082387/,9.3,25360人评价,一个预言和一个寓言，令人窒息的政治恐怖
牧羊少年奇幻之旅,https://book.douban.com/subject/3608208/,8.6,58998人评价,你自己就是最大的宝藏
福尔摩斯探案全集（上中下）,https://book.douban.com/subject/1040211/,9.2,50100人评价,侦探小说鼻祖
